"data";"ativo";"preco_abertura";"preco_alto";"preco_baixo";"preco_fechamento";"volume_negociado";"indicador";"valor_indicador";"rendimento_tesouro"
2024-10-30;PETR4.SA;36.120;36.370;35.850;35.850;26144700;Weighted Moving Average (WMA);34.705;4.150
2024-10-30;MSFT;437.435;438.500;432.100;432.530;29749149;Commodity Channel Index (CCI);135.775;4.150
2024-10-30;ITUB4.SA;35.340;35.590;35.130;35.250;10662900;Triple Exponential Moving Average (TEMA);35.285;4.150
2024-10-30;GOOGL;180.680;182.020;174.060;174.460;68890787;Simple Moving Average (SMA);166.138;4.150
2024-10-30;AAPL;232.610;233.470;229.550;230.100;47070907;Exponential Moving Average (EMA);231.919;4.150
2024-10-29;VALE3.SA;63.250;63.440;62.650;62.660;14941700;Double Exponential Moving Average (DEMA);61.090;4.110
2024-10-29;PETR4.SA;36.330;36.420;35.800;36.010;26090200;Weighted Moving Average (WMA);34.762;4.110
2024-10-29;MSFT;428.000;433.170;425.800;431.950;17644080;Commodity Channel Index (CCI);96.815;4.110
2024-10-29;ITUB4.SA;35.860;35.940;35.350;35.350;11672800;Triple Exponential Moving Average (TEMA);35.406;4.110
2024-10-29;GOOGL;167.730;170.380;167.090;169.680;42169025;Simple Moving Average (SMA);164.524;4.110
2024-10-29;AAPL;233.100;234.325;232.320;233.670;35417247;Exponential Moving Average (EMA);231.822;4.110
2024-10-28;VALE3.SA;62.500;62.880;62.190;62.880;16572400;Double Exponential Moving Average (DEMA);60.329;4.120
2024-10-28;PETR4.SA;35.490;36.130;35.340;36.090;27507100;Weighted Moving Average (WMA);34.798;4.120
2024-10-28;MSFT;431.655;431.940;426.300;426.590;14882444;Commodity Channel Index (CCI);90.181;4.120
2024-10-28;ITUB4.SA;35.640;35.910;35.490;35.730;10533000;Triple Exponential Moving Average (TEMA);35.226;4.120
2024-10-28;GOOGL;168.750;168.750;163.950;166.720;32138641;Simple Moving Average (SMA);164.330;4.120
2024-10-28;AAPL;233.320;234.730;232.550;233.400;36087134;Exponential Moving Average (EMA);231.595;4.120
2024-10-25;VALE3.SA;60.570;62.470;60.520;61.730;38466000;Double Exponential Moving Average (DEMA);59.639;4.110
2024-10-25;PETR4.SA;35.960;36.490;35.850;36.150;32585900;Weighted Moving Average (WMA);35.016;4.110
2024-10-25;MSFT;426.760;432.520;426.565;428.150;16899064;Commodity Channel Index (CCI);130.438;4.110
2024-10-25;ITUB4.SA;35.700;35.780;35.220;35.300;15340000;Triple Exponential Moving Average (TEMA);35.093;4.110
2024-10-25;GOOGL;163.670;165.590;163.420;165.270;19828884;Simple Moving Average (SMA);163.820;4.110
2024-10-25;AAPL;229.740;233.220;229.570;231.410;38802304;Exponential Moving Average (EMA);231.269;4.110
2024-10-24;VALE3.SA;59.340;59.700;59.210;59.700;11331700;Double Exponential Moving Average (DEMA);59.573;4.070
2024-10-24;PETR4.SA;35.850;36.030;35.560;35.900;23058900;Weighted Moving Average (WMA);35.180;4.070
2024-10-24;MSFT;425.325;425.978;422.400;424.730;13581631;Commodity Channel Index (CCI);90.435;4.070
2024-10-24;ITUB4.SA;35.380;35.830;35.290;35.700;21391700;Triple Exponential Moving Average (TEMA);34.848;4.070
2024-10-24;GOOGL;162.830;163.330;161.010;162.720;22412527;Simple Moving Average (SMA);163.666;4.070
2024-10-24;AAPL;229.980;230.820;228.410;230.570;31109503;Exponential Moving Average (EMA);231.664;4.070
2024-10-23;VALE3.SA;59.890;59.900;59.150;59.350;18289900;Double Exponential Moving Average (DEMA);60.040;4.070
2024-10-23;PETR4.SA;35.910;35.940;35.570;35.660;30769100;Weighted Moving Average (WMA);35.390;4.070
2024-10-23;MSFT;430.855;431.080;422.530;424.600;19654379;Commodity Channel Index (CCI);159.838;4.070
2024-10-23;ITUB4.SA;35.010;35.400;35.000;35.380;15353400;Triple Exponential Moving Average (TEMA);34.696;4.070
2024-10-23;GOOGL;164.760;165.820;161.925;162.780;18280518;Simple Moving Average (SMA);163.470;4.070
2024-10-23;AAPL;234.080;235.144;227.760;230.760;52286979;Exponential Moving Average (EMA);232.095;4.070
2024-10-22;VALE3.SA;60.150;60.660;59.900;60.410;14814000;Double Exponential Moving Average (DEMA);60.435;4.030
2024-10-22;PETR4.SA;36.200;36.300;35.990;36.110;29144300;Weighted Moving Average (WMA);35.615;4.030
2024-10-22;MSFT;418.490;430.579;418.040;427.510;25482197;Commodity Channel Index (CCI);233.050;4.030
2024-10-22;ITUB4.SA;35.000;35.250;34.810;35.160;21933400;Triple Exponential Moving Average (TEMA);34.716;4.030
2024-10-22;GOOGL;162.980;165.770;162.980;165.140;16568121;Simple Moving Average (SMA);163.339;4.030
2024-10-22;AAPL;233.885;236.220;232.600;235.860;38846578;Exponential Moving Average (EMA);231.711;4.030
2024-10-21;VALE3.SA;61.350;61.380;60.270;60.330;19044900;Double Exponential Moving Average (DEMA);60.858;4.020
2024-10-21;PETR4.SA;37.000;37.050;36.200;36.250;28390000;Weighted Moving Average (WMA);35.812;4.020
2024-10-21;MSFT;416.120;418.960;413.750;418.780;14206115;Commodity Channel Index (CCI);13.100;4.020
2024-10-21;ITUB4.SA;35.390;35.420;35.000;35.100;14892400;Triple Exponential Moving Average (TEMA);34.753;4.020
2024-10-21;GOOGL;162.950;164.500;162.620;164.070;20946455;Simple Moving Average (SMA);163.435;4.020
2024-10-21;AAPL;234.450;236.850;234.450;236.480;36254470;Exponential Moving Average (EMA);231.285;4.020
2024-10-18;VALE3.SA;61.190;61.470;60.460;60.550;21823500;Double Exponential Moving Average (DEMA);60.900;3.950
